uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 7600 3.5634
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 7700 3.61314
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 7800 3.59854
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 7900 3.58872
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8000 3.58769
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8100 3.59044
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8200 3.6048
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8300 3.60051
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8400 3.65884
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8500 3.66568
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8600 3.65452
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8700 3.6673
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8800 3.69507
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 8900 3.68524
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9000 3.70941
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9100 3.7306
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9200 3.73884
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9300 3.74135
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9400 3.78249
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9500 3.78076
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9600 3.7922
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9700 3.83805
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9800 3.85558
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 9900 3.83501
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10000 3.88188
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10100 3.90975
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10200 3.85648
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 10300 3.87356
