uid treatment rep update num_kabooms avg_hd
_10k-02_73 10k-02 73 100000 1139 26.8147497805
_10k-02_74 10k-02 74 100000 1047 48.3390639924
_10k-02_75 10k-02 75 100000 1440 49.1895833333
_10k-02_76 10k-02 76 100000 1129 44.2568644818
_10k-02_78 10k-02 78 100000 488 36.5368852459
_10k-02_79 10k-02 79 100000 3592 31.6840200445
_10k-02_80 10k-02 80 100000 716 46.9706703911
_1k-0002_51 1k-0002 51 100000 507 1.35700197239
_1k-0002_52 1k-0002 52 100000 979 2.19203268641
_1k-0002_53 1k-0002 53 100000 436 1.6628440367
_1k-0002_54 1k-0002 54 100000 481 1.40332640333
_1k-0002_55 1k-0002 55 100000 460 1.36739130435
_1k-0002_56 1k-0002 56 100000 1012 2.25889328063
_1k-0002_57 1k-0002 57 100000 513 1.40350877193
_1k-0002_58 1k-0002 58 100000 447 1.35346756152
_1k-0002_59 1k-0002 59 100000 449 1.34966592428
_1k-0002_60 1k-0002 60 100000 506 1.20948616601
_1k-0002_61 1k-0002 61 100000 454 1.19823788546
_1k-0002_62 1k-0002 62 100000 946 2.3710359408
_1k-0002_63 1k-0002 63 100000 501 1.54091816367
_1k-0002_64 1k-0002 64 100000 511 1.52054794521
_1k-0002_65 1k-0002 65 100000 488 1.39549180328
_1k-0002_66 1k-0002 66 100000 519 1.53564547206
_1k-0002_67 1k-0002 67 100000 489 1.42944785276
_1k-0002_68 1k-0002 68 100000 486 1.32304526749
_1k-0002_69 1k-0002 69 100000 1011 2.24727992087
_1k-0002_70 1k-0002 70 100000 491 1.50509164969
_1k-0002_71 1k-0002 71 100000 485 1.47422680412
_1k-0002_72 1k-0002 72 100000 494 1.43724696356
_1k-0002_73 1k-0002 73 100000 1334 1.85757121439
_1k-0002_74 1k-0002 74 100000 429 1.46853146853
_1k-0002_75 1k-0002 75 100000 856 1.2558411215
_1k-0002_76 1k-0002 76 100000 442 1.23981900452
_1k-0002_77 1k-0002 77 100000 443 1.56659142212
_1k-0002_78 1k-0002 78 100000 467 1.39614561028
_1k-0002_79 1k-0002 79 100000 986 1.63488843813
_1k-0002_80 1k-0002 80 100000 494 1.38461538462
_1k-002_51 1k-002 51 100000 801 3.58052434457
_1k-002_52 1k-002 52 100000 834 3.51199040767
_1k-002_53 1k-002 53 100000 406 5.18719211823
_1k-002_54 1k-002 54 100000 813 3.87576875769
_1k-002_55 1k-002 55 100000 424 4.44103773585
_1k-002_56 1k-002 56 100000 788 4.0076142132
_1k-002_57 1k-002 57 100000 790 3.36835443038
_1k-002_58 1k-002 58 100000 413 5.06053268765
_1k-002_59 1k-002 59 100000 1131 3.63660477454
_1k-002_60 1k-002 60 100000 763 3.23591087811
_1k-002_61 1k-002 61 100000 800 3.66375
_1k-002_62 1k-002 62 100000 815 3.97668711656
_1k-002_63 1k-002 63 100000 805 4.0198757764
_1k-002_64 1k-002 64 100000 710 3.20985915493
_1k-002_65 1k-002 65 100000 786 4.00508905852
_1k-002_66 1k-002 66 100000 429 5.24009324009
_1k-002_67 1k-002 67 100000 750 3.61066666667
_1k-002_68 1k-002 68 100000 829 3.48009650181
_1k-002_69 1k-002 69 100000 826 4.09927360775
_1k-002_70 1k-002 70 100000 758 4.05672823219
_1k-002_71 1k-002 71 100000 755 3.48344370861
_1k-002_72 1k-002 72 100000 805 3.83105590062
_1k-002_73 1k-002 73 100000 1264 3.00237341772
_1k-002_74 1k-002 74 100000 815 3.33251533742
_1k-002_75 1k-002 75 100000 796 3.97864321608
_1k-002_76 1k-002 76 100000 821 3.79780755177
_1k-002_77 1k-002 77 100000 766 3.37467362924
_1k-002_78 1k-002 78 100000 820 3.83780487805
_1k-002_79 1k-002 79 100000 770 3.35714285714
_1k-002_80 1k-002 80 100000 800 4.24875
_1k-02_51 1k-02 51 100000 76 44.8552631579
_1k-02_52 1k-02 52 100000 56 24.9285714286
_1k-02_53 1k-02 53 100000 247 12.3117408907
_1k-02_54 1k-02 54 100000 104 46.3461538462
_1k-02_55 1k-02 55 100000 33 44.0
_1k-02_56 1k-02 56 100000 58 41.8965517241
_1k-02_57 1k-02 57 100000 70 32.4285714286
_1k-02_58 1k-02 58 100000 56 50.5
_1k-02_59 1k-02 59 100000 94 47.7978723404
_1k-02_60 1k-02 60 100000 168 50.2678571429
_1k-02_61 1k-02 61 100000 111 46.4864864865
_1k-02_62 1k-02 62 100000 255 49.6784313725
_1k-02_63 1k-02 63 100000 168 48.369047619
_1k-02_64 1k-02 64 100000 144 46.3888888889
_1k-02_65 1k-02 65 100000 65 25.6461538462
_1k-02_66 1k-02 66 100000 127 37.062992126
_1k-02_67 1k-02 67 100000 58 48.0172413793
_1k-02_68 1k-02 68 100000 100 42.72
_1k-02_69 1k-02 69 100000 76 44.1184210526
_1k-02_71 1k-02 71 100000 100 42.04
_1k-02_72 1k-02 72 100000 278 48.0611510791
_1k-02_73 1k-02 73 100000 60 36.45
_1k-02_74 1k-02 74 100000 117 50.6239316239
_1k-02_75 1k-02 75 100000 51 41.2352941176
_1k-02_76 1k-02 76 100000 145 50.9862068966
_1k-02_77 1k-02 77 100000 195 52.1641025641
_1k-02_78 1k-02 78 100000 91 45.9340659341
_1k-02_79 1k-02 79 100000 114 47.0614035088
_1k-02_80 1k-02 80 100000 63 32.9682539683
